year;id_ns;date;base_year
2005;18;13/05/2005;1994
2005;19;20/05/2005;1994
2005;20;27/05/2005;1994
2005;21;3/06/2005;1994
2005;22;10/06/2005;1994
2005;23;17/06/2005;1994
2005;24;24/06/2005;1994
2005;25;1/07/2005;1994
2005;26;8/07/2005;1994
2005;27;15/07/2005;1994
2005;28;22/07/2005;1994
2005;29;5/08/2005;1994
2005;30;12/08/2005;1994
2005;31;19/08/2005;1994
2005;32;26/08/2005;1994
2005;33;2/09/2005;1994
2005;34;9/09/2005;1994
2005;35;16/09/2005;1994
2005;36;23/09/2005;1994
2005;37;30/09/2005;1994
2005;38;7/10/2005;1994
2005;39;14/10/2005;1994
2005;40;21/10/2005;1994
2005;41;28/10/2005;1994
2005;42;4/11/2005;1994
2005;43;11/11/2005;1994
2005;44;18/11/2005;1994
2005;45;25/11/2005;1994
2005;46;2/12/2005;1994
2005;47;9/12/2005;1994
2005;48;16/12/2005;1994
2005;49;23/12/2005;1994
2006;1;6/01/2006;1994
2006;2;13/01/2006;1994
2006;3;20/01/2006;1994
2006;4;27/01/2006;1994
2006;5;3/02/2006;1994
2006;6;10/02/2006;1994
2006;7;17/02/2006;1994
2006;8;24/02/2006;1994
2006;9;3/03/2006;1994
2006;10;10/03/2006;1994
2006;11;17/03/2006;1994
2006;12;24/03/2006;1994
2006;13;31/03/2006;1994
2006;14;7/04/2006;1994
2006;15;21/04/2006;1994
2006;16;28/04/2006;1994
2006;17;5/05/2006;1994
2006;18;12/05/2006;1994
2006;19;19/05/2006;1994
2006;20;26/05/2006;1994
2006;21;2/06/2006;1994
2006;22;9/06/2006;1994
2006;23;16/06/2006;1994
2006;24;23/06/2006;1994
2006;25;30/06/2006;1994
2006;26;7/07/2006;1994
2006;27;14/07/2006;1994
2006;28;21/07/2006;1994
2006;29;4/08/2006;1994
2006;30;11/08/2006;1994
2006;31;18/08/2006;1994
2006;32;25/08/2006;1994
2006;33;1/09/2006;1994
2006;34;8/09/2006;1994
2006;35;15/09/2006;1994
2006;36;22/09/2006;1994
2006;37;29/09/2006;1994
2006;38;6/10/2006;1994
2006;39;13/10/2006;1994
2006;40;20/10/2006;1994
2006;41;27/10/2006;1994
2006;42;3/11/2006;1994
2006;43;10/11/2006;1994
2006;44;17/11/2006;1994
2006;45;24/11/2006;1994
2006;46;1/12/2006;1994
2006;47;7/12/2006;1994
2006;48;15/12/2006;1994
2006;49;22/12/2006;1994
2007;1;5/01/2007;1994
2007;2;12/01/2007;1994
2007;3;19/01/2007;1994
2007;4;26/01/2007;1994
2007;5;2/02/2007;1994
2007;6;9/02/2007;1994
2007;7;16/02/2007;1994
2007;8;23/02/2007;1994
2007;9;2/03/2007;1994
2007;10;9/03/2007;1994
2007;11;16/03/2007;1994
2007;12;23/03/2007;1994
2007;13;30/03/2007;1994
2007;14;13/04/2007;1994
2007;15;20/04/2007;1994
2007;16;27/04/2007;1994
2007;17;4/05/2007;1994
2007;18;11/05/2007;1994
2007;19;18/05/2007;1994
2007;20;25/05/2007;1994
2007;21;1/06/2007;1994
2007;22;8/06/2007;1994
2007;23;15/06/2007;1994
2007;24;22/06/2007;1994
2007;25;27/06/2007;1994
2007;26;6/07/2007;1994
2007;27;13/07/2007;1994
2007;28;20/07/2007;1994
2007;29;2/08/2007;1994
2007;30;9/08/2007;1994
2007;31;16/08/2007;1994
2007;32;24/08/2007;1994
2007;33;29/08/2007;1994
2007;34;7/09/2007;1994
2007;35;14/09/2007;1994
2007;36;21/09/2007;1994
2007;37;28/09/2007;1994
2007;38;5/10/2007;1994
2007;39;12/10/2007;1994
2007;40;20/10/2007;1994
2007;41;26/10/2007;1994
2007;42;31/10/2007;1994
2007;43;9/11/2007;1994
2007;44;16/11/2007;1994
2007;45;23/11/2007;1994
2007;46;30/11/2007;1994
2007;47;7/12/2007;1994
2007;48;14/12/2007;1994
2007;49;21/12/2007;1994
2008;1;4/01/2008;1994
2008;2;11/01/2008;1994
2008;3;18/01/2008;1994
2008;4;25/01/2008;1994
2008;5;1/02/2008;1994
2008;6;8/02/2008;1994
2008;7;15/02/2008;1994
2008;8;22/02/2008;1994
2008;9;29/02/2008;1994
2008;10;7/03/2008;1994
2008;11;14/03/2008;1994
2008;12;28/03/2008;1994
2008;13;4/04/2008;1994
2008;14;11/04/2008;1994
2008;15;18/04/2008;1994
2008;16;25/04/2008;1994
2008;17;2/05/2008;1994
2008;18;9/05/2008;1994
2008;19;16/05/2008;1994
2008;20;23/05/2008;1994
2008;21;30/05/2008;1994
2008;22;6/06/2008;1994
2008;23;13/06/2008;1994
2008;24;20/06/2008;1994
2008;25;27/06/2008;1994
2008;26;4/07/2008;1994
2008;27;11/07/2008;1994
2008;28;18/07/2008;1994
2008;29;25/07/2008;1994
2008;30;1/08/2008;1994
2008;31;15/08/2008;1994
2008;32;22/08/2008;1994
2008;33;29/08/2008;1994
2008;34;5/09/2008;1994
2008;35;12/09/2008;1994
2008;36;19/09/2008;1994
2008;37;26/09/2008;1994
2008;38;3/10/2008;1994
2008;39;10/10/2008;1994
2008;40;17/10/2008;1994
2008;41;24/10/2008;1994
2008;42;31/10/2008;1994
2008;43;7/11/2008;1994
2008;44;14/11/2008;1994
2008;45;21/11/2008;1994
2008;46;28/11/2008;1994
2008;47;5/12/2008;1994
2008;48;12/12/2008;1994
2008;49;19/12/2008;1994
2008;50;26/12/2008;1994
2009;1;9/01/2009;1994
2009;2;16/01/2009;1994
2009;3;23/01/2009;1994
2009;4;30/01/2009;1994
2009;5;6/02/2009;1994
2009;6;13/02/2009;1994
2009;7;20/02/2009;1994
2009;8;27/02/2009;1994
2009;9;6/03/2009;1994
2009;10;13/03/2009;1994
2009;11;20/03/2009;1994
2009;12;27/03/2009;1994
2009;13;3/04/2009;1994
2009;14;17/04/2009;1994
2009;15;24/04/2009;1994
2009;16;30/04/2009;1994
2009;17;8/05/2009;1994
2009;18;15/05/2009;1994
2009;19;22/05/2009;1994
2009;20;29/05/2009;1994
2009;21;5/06/2009;1994
2009;22;12/06/2009;1994
2009;23;19/06/2009;1994
2009;24;26/06/2009;1994
2009;25;3/07/2009;1994
2009;26;10/07/2009;1994
2009;27;17/07/2009;1994
2009;28;24/07/2009;1994
2009;29;7/08/2009;1994
2009;30;14/08/2009;1994
2009;31;21/08/2009;1994
2009;32;28/08/2009;1994
2009;33;4/09/2009;1994
2009;34;11/09/2009;1994
2009;35;18/09/2009;1994
2009;36;25/09/2009;1994
2009;37;2/10/2009;1994
2009;38;7/10/2009;1994
2009;39;16/10/2009;1994
2009;40;23/10/2009;1994
2009;41;30/10/2009;1994
2009;42;6/11/2009;1994
2009;43;13/11/2009;1994
2009;44;20/11/2009;1994
2009;45;27/11/2009;1994
2009;46;4/12/2009;1994
2009;47;11/12/2009;1994
2009;48;18/12/2009;1994
2009;49;23/12/2009;1994
2010;1;8/01/2010;1994
2010;2;15/01/2010;1994
2010;3;22/01/2010;1994
2010;4;29/01/2010;1994
2010;5;5/02/2010;1994
2010;6;12/02/2010;1994
2010;7;19/02/2010;1994
2010;8;1/03/2010;1994
2010;9;5/03/2010;1994
2010;10;12/03/2010;1994
2010;11;19/03/2010;1994
2010;12;26/03/2010;1994
2010;13;9/04/2010;1994
2010;14;16/04/2010;1994
2010;15;23/04/2010;1994
2010;16;30/04/2010;1994
2010;17;7/05/2010;1994
2010;18;14/05/2010;1994
2010;19;21/05/2010;1994
2010;20;28/05/2010;1994
2010;21;4/06/2010;1994
2010;22;11/06/2010;1994
2010;23;18/06/2010;1994
2010;24;25/06/2010;1994
2010;25;2/07/2010;1994
2010;26;9/07/2010;1994
2010;27;16/07/2010;1994
2010;28;23/07/2010;1994
2010;29;6/08/2010;1994
2010;30;13/08/2010;1994
2010;31;20/08/2010;1994
2010;32;27/08/2010;1994
2010;33;3/09/2010;1994
2010;34;10/09/2010;1994
2010;35;17/09/2010;1994
2010;36;24/09/2010;1994
2010;37;1/10/2010;1994
2010;38;7/10/2010;1994
2010;39;15/10/2010;1994
2010;40;22/10/2010;1994
2010;41;29/10/2010;1994
2010;42;5/11/2010;1994
2010;43;12/11/2010;1994
2010;44;19/11/2010;1994
2010;45;26/11/2010;1994
2010;46;3/12/2010;1994
2010;47;10/12/2010;1994
2010;48;17/12/2010;1994
2010;49;23/12/2010;1994
2011;1;7/01/2011;1994
2011;2;14/01/2011;1994
2011;3;21/01/2011;1994
2011;4;28/01/2011;1994
2011;5;4/02/2011;1994
2011;6;11/02/2011;1994
2011;7;18/02/2011;1994
2011;8;25/02/2011;1994
2011;9;4/03/2011;1994
2011;10;11/03/2011;1994
2011;11;18/03/2011;1994
2011;12;25/03/2011;1994
2011;13;1/04/2011;1994
2011;14;8/04/2011;1994
2011;15;15/04/2011;1994
2011;16;29/04/2011;1994
2011;17;6/05/2011;1994
2011;18;13/05/2011;1994
2011;19;20/05/2011;1994
2011;20;27/05/2011;1994
2011;21;3/06/2011;1994
2011;22;10/06/2011;1994
2011;23;17/06/2011;1994
2011;24;24/06/2011;1994
2011;25;1/07/2011;1994
2011;26;8/07/2011;1994
2011;27;15/07/2011;1994
2011;28;22/07/2011;1994
2011;29;5/08/2011;1994
2011;30;12/08/2011;1994
2011;31;19/08/2011;1994
2011;32;26/08/2011;1994
2011;33;2/09/2011;1994
2011;34;9/09/2011;1994
2011;35;16/09/2011;1994
2011;36;23/09/2011;1994
2011;37;30/09/2011;1994
2011;38;7/10/2011;1994
2011;39;14/10/2011;1994
2011;40;21/10/2011;1994
2011;41;28/10/2011;1994
2011;42;4/11/2011;1994
2011;43;11/11/2011;1994
2011;44;18/11/2011;1994
2011;45;25/11/2011;1994
2011;46;2/12/2011;1994
2011;47;9/12/2011;1994
2011;48;16/12/2011;1994
2011;49;23/12/2011;1994
2012;1;6/01/2012;1994
2012;2;13/01/2012;1994
2012;3;20/01/2012;1994
2012;4;27/01/2012;1994
2012;5;3/02/2012;1994
2012;6;10/02/2012;1994
2012;7;17/02/2012;1994
2012;8;24/02/2012;1994
2012;9;2/03/2012;1994
2012;10;9/03/2012;1994
2012;11;16/03/2012;1994
2012;12;23/03/2012;1994
2012;13;30/03/2012;1994
2012;14;13/04/2012;1994
2012;15;20/04/2012;1994
2012;16;27/04/2012;1994
2012;17;4/05/2012;1994
2012;18;11/05/2012;1994
2012;19;18/05/2012;1994
2012;20;25/05/2012;1994
2012;21;1/06/2012;1994
2012;22;8/06/2012;1994
2012;23;15/06/2012;1994
2012;24;22/06/2012;1994
2012;25;28/06/2012;1994
2012;26;6/07/2012;1994
2012;27;13/07/2012;1994
2012;28;20/07/2012;1994
2012;29;3/08/2012;1994
2012;30;10/08/2012;1994
2012;31;17/08/2012;1994
2012;32;24/08/2012;1994
2012;33;31/08/2012;1994
2012;34;7/09/2012;1994
2012;35;14/09/2012;1994
2012;36;21/09/2012;1994
2012;37;28/09/2012;1994
2012;38;5/10/2012;1994
2012;39;12/10/2012;1994
2012;40;19/10/2012;1994
