target_period,yhat_1,yhat_2,yhat_3
2019m11,2.160101510265112,2.212013701234357,2.17809770337748
2019m12,1.335831696155973,1.288011708049578,1.250190673048585
2020m1,3.268820884661107,3.233212920196086,3.184996464849521
2020m2,4.104304634945046,4.157642997963948,4.125484172961718
2021m11,,,
2021m12,,,
2022m1,,,
2022m2,,,
2022m3,,,
2022m4,,,
2022m5,,,
2022m6,,,
2022m7,,,
2022m8,,,
2022m9,,,
2022m10,2.250788634181967,,
2022m11,1.945426253703919,2.075668472183654,2.064917478669315
2022m12,1.12376344212291,1.057751485831393,1.038488834235682
2023m1,-.9345550537375652,-.9906281659853223,-.9888042809634032
2023m2,-.4518558597546112,-.4209473456716614,-.4426706735220545
2023m3,.3584921667321004,.2976771341788529,.2667248038049154
2023m4,.4660407663155513,.4164474273430097,.4112682695994062
2023m5,-1.270534934338107,-1.238593515877086,-1.263164597477883
2023m6,-.4698371061825121,-.5323502941584062,-.564041712901839
2023m7,-1.186094647515113,-1.240971910615655,-1.245160027721062
2023m8,-.4776071097156618,-.4460985048465153,-.4708439526128795
2023m9,-1.189981388056162,-1.254654081809901,-1.285827546028943
2023m10,-.684300232257868,-.7388712783553252,-.7432150908086788
